model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_2_AutoML_1_20230326_162435_model_5,0.4577714691270405,0.78265901536452,0.4577714691270405,0.43899485391429865,0.6162261615745195
DeepLearning_grid_2_AutoML_1_20230326_162435_model_5,0.4577714691270405,0.78265901536452,0.4577714691270405,0.43899485391429865,0.6162261615745195
DeepLearning_grid_2_AutoML_1_20230326_162435_model_2,0.5124201561391057,0.7180023658468389,0.5124201561391057,0.5244621050756698,0.6112065411570702
DeepLearning_grid_3_AutoML_1_20230326_162435_model_5,0.6295244854506742,0.763115170457725,0.6295244854506742,0.6486130066736312,0.6907977442881937
DeepLearning_grid_1_AutoML_1_20230326_162435_model_5,0.6281050390347764,0.7746026946014782,0.6281050390347764,0.6463465249670154,0.6996409285470712
DeepLearning_grid_3_AutoML_1_20230326_162435_model_4,0.6202980837473385,0.7677189391211321,0.6202980837473385,0.6387986397853403,0.6910076903893037
DeepLearning_grid_2_AutoML_1_20230326_162435_model_3,0.5003548616039745,0.7483082023391423,0.5003548616039745,0.5033392603509381,0.6241939342117987
DeepLearning_grid_2_AutoML_1_20230326_162435_model_4,0.6174591909155429,0.7995548763260416,0.6174591909155429,0.6328039141433244,0.7127848268771726
DeepLearning_1_AutoML_1_20230326_162435,0.57416607523066,0.762669896860723,0.57416607523066,0.589502076483852,0.6675128130741708
DeepLearning_grid_3_AutoML_1_20230326_162435_model_1,0.6777856635911994,0.7630347635135499,0.6777856635911994,0.6954220386341696,0.705936766779147
DeepLearning_grid_1_AutoML_1_20230326_162435_model_4,0.6330731014904187,0.7436759424548502,0.6330731014904187,0.6530759221190806,0.6744168587991592
DeepLearning_grid_1_AutoML_1_20230326_162435_model_3,0.6160397444996452,0.7484537913330684,0.6160397444996452,0.635854725360609,0.6733569490887067
DeepLearning_grid_3_AutoML_1_20230326_162435_model_7,0.6479772888573456,0.7960351411727933,0.6479772888573456,0.6652440389000757,0.72474030303493
DeepLearning_grid_3_AutoML_1_20230326_162435_model_3,0.5947480482611781,0.7460201994846288,0.5947480482611781,0.6139307491747372,0.6636459876119076
DeepLearning_grid_1_AutoML_1_20230326_162435_model_2,0.5990063875088716,0.7568943991231024,0.5990063875088716,0.6173770408968697,0.6739333465662998
DeepLearning_grid_2_AutoML_1_20230326_162435_model_8,0.6486870120652946,0.7951874470252909,0.6486870120652946,0.6660306008822083,0.724409478875605
DeepLearning_grid_2_AutoML_1_20230326_162435_model_6,0.7111426543647977,0.7826187871559881,0.7111426543647977,0.726524907286809,0.7345683253681055
DeepLearning_grid_2_AutoML_1_20230326_162435_model_7,0.6969481902058198,0.7773531625905623,0.6969481902058198,0.7134249320736599,0.7256398902681712
DeepLearning_grid_3_AutoML_1_20230326_162435_model_2,0.6444286728176012,0.7622308657632761,0.6444286728176012,0.6635745809471597,0.6953045872586892
GLM_1_AutoML_1_20230326_162435,0.6529453513129879,0.7892847752061594,0.6529453513129879,0.6707392934011849,0.7216063803256327
DeepLearning_grid_3_AutoML_1_20230326_162435_model_6,0.6990773598296665,0.792890113474744,0.6990773598296665,0.7156548586486452,0.7418286432646746
DeepLearning_grid_1_AutoML_1_20230326_162435_model_8,0.6763662171753017,0.7887993160345911,0.6763662171753017,0.6939744798306778,0.7303248693244571
DeepLearning_grid_1_AutoML_1_20230326_162435_model_7,0.6330731014904187,0.7913072529293533,0.6330731014904187,0.6501684954942545,0.714506384906275
DeepLearning_grid_1_AutoML_1_20230326_162435_model_1,0.6202980837473385,0.7708319900566729,0.6202980837473385,0.6385413626717913,0.6934621511713721
GBM_grid_1_AutoML_1_20230326_162435_model_14,0.6515259048970902,0.7950392681658832,0.6515259048970902,0.6689420480214673,0.7255406430203737
XRT_1_AutoML_1_20230326_162435,0.7040454222853088,0.7628998901640877,0.7040454222853088,0.718924386039967,0.7108774983586031
DeepLearning_grid_2_AutoML_1_20230326_162435_model_1,0.6352022711142654,0.7822571398055193,0.6352022711142654,0.6530956370859656,0.7086049908641636
GBM_1_AutoML_1_20230326_162435,0.6337828246983677,0.7926489619359909,0.6337828246983677,0.650798520746066,0.7158118679349956
DeepLearning_grid_1_AutoML_1_20230326_162435_model_6,0.6763662171753017,0.7972844563241895,0.6763662171753017,0.6937083304648288,0.7376882516706622
GBM_grid_1_AutoML_1_20230326_162435_model_16,0.6557842441447835,0.7892371930460966,0.6557842441447835,0.6736039387788014,0.7227375444704014
GBM_grid_1_AutoML_1_20230326_162435_model_6,0.6415897799858056,0.7929134819074276,0.6415897799858056,0.6588923563756277,0.7195361845286266
DRF_1_AutoML_1_20230326_162435,0.6763662171753017,0.7738363732629034,0.6763662171753017,0.6941968251707884,0.71641625822607
DeepLearning_grid_3_AutoML_1_20230326_162435_model_8,0.694819020581973,0.7804382686506549,0.694819020581973,0.7115392028991099,0.7282686699341914
GBM_grid_1_AutoML_1_20230326_162435_model_11,0.6344925479063165,0.793994099972136,0.6344925479063165,0.6514283877969808,0.7171173509637163
GBM_grid_1_AutoML_1_20230326_162435_model_4,0.6664300922640171,0.7778339899202044,0.6664300922640171,0.6846029619964964,0.716957028486505
