model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_1_AutoML_1_20230326_131315_model_3,0.7452093683463449,0.7854958838141094,0.7452093683463449,0.7563243426194289,0.7424152199471699
DeepLearning_grid_1_AutoML_1_20230326_131315_model_3,0.7452093683463449,0.7854958838141094,0.7452093683463449,0.7563243426194289,0.7424152199471699
DRF_1_AutoML_1_20230326_131315,0.7615330021291696,0.749624499305512,0.7615330021291696,0.7534743717817061,0.670172130354898
DeepLearning_grid_2_AutoML_1_20230326_131315_model_4,0.7452093683463449,0.770907947508253,0.7452093683463449,0.7538153055640474,0.7219613800966006
DeepLearning_grid_2_AutoML_1_20230326_131315_model_7,0.7650816181689141,0.7815100928705662,0.7650816181689141,0.7711006125050905,0.7339702970800951
DeepLearning_grid_1_AutoML_1_20230326_131315_model_5,0.7565649396735273,0.7685110325230947,0.7565649396735273,0.7613667159377765,0.7150318863593564
DeepLearning_grid_1_AutoML_1_20230326_131315_model_2,0.7288857345635202,0.7911344198945092,0.7288857345635202,0.7428530529718474,0.7475697148295748
GBM_grid_1_AutoML_1_20230326_131315_model_15,0.7444996451383961,0.7677948281993092,0.7444996451383961,0.7525827047888034,0.7173832826917889
DeepLearning_1_AutoML_1_20230326_131315,0.7544357700496807,0.7821434053500742,0.7544357700496807,0.7632272051013351,0.7372963522819233
DeepLearning_grid_1_AutoML_1_20230326_131315_model_7,0.7437899219304471,0.7751826965677021,0.7437899219304471,0.7535570625107493,0.7283501035734099
DeepLearning_grid_2_AutoML_1_20230326_131315_model_2,0.6969481902058198,0.7765733938373791,0.6969481902058198,0.7134006376322588,0.7248217366741483
DeepLearning_grid_2_AutoML_1_20230326_131315_model_6,0.7111426543647977,0.7967734473774716,0.7111426543647977,0.7269756822624376,0.7492950900605154
XRT_1_AutoML_1_20230326_131315,0.7040454222853088,0.7588277946839637,0.7040454222853088,0.7185332207435179,0.7059685767944666
GBM_grid_1_AutoML_1_20230326_131315_model_13,0.7530163236337828,0.766277996778458,0.7530163236337828,0.7582670413954411,0.7125952391858671
DeepLearning_grid_1_AutoML_1_20230326_131315_model_4,0.7679205110007097,0.7733158577054093,0.7679205110007097,0.7703242262629807,0.7179202357503855
DeepLearning_grid_1_AutoML_1_20230326_131315_model_8,0.7863733144073811,0.785510522429002,0.7863733144073811,0.7859311522564615,0.7281363402704616
DeepLearning_grid_3_AutoML_1_20230326_131315_model_7,0.7310149041873669,0.7871548711199677,0.7310149041873669,0.7444245171474778,0.7433046279755088
DeepLearning_grid_3_AutoML_1_20230326_131315_model_8,0.7650816181689141,0.76927587571422,0.7650816181689141,0.7670013564463743,0.7118801500414802
DeepLearning_grid_2_AutoML_1_20230326_131315_model_8,0.7700496806245565,0.7760322441545561,0.7700496806245565,0.7726770523827754,0.7218366848365474
GBM_grid_1_AutoML_1_20230326_131315_model_1,0.7217885024840313,0.780120733366496,0.7217885024840313,0.7358039765534615,0.7336967309483458
DeepLearning_grid_3_AutoML_1_20230326_131315_model_4,0.7601135557132718,0.793236577982687,0.7601135557132718,0.7696844062162472,0.7526491380758249
GBM_grid_1_AutoML_1_20230326_131315_model_8,0.7374024130589071,0.7594388955353506,0.7374024130589071,0.7453180669747638,0.7059647595926282
GBM_3_AutoML_1_20230326_131315,0.7622427253371186,0.7624375962886669,0.7622427253371186,0.7623397557362137,0.7001129891744157
GBM_grid_1_AutoML_1_20230326_131315_model_5,0.7210787792760823,0.7833280847761299,0.7210787792760823,0.73542352430395,0.7373001694837615
GBM_grid_1_AutoML_1_20230326_131315_model_12,0.7672107877927609,0.7754135856613934,0.7672107877927609,0.7706731869699301,0.7223418278798243
DeepLearning_grid_2_AutoML_1_20230326_131315_model_1,0.7799858055358411,0.7765549290282212,0.7799858055358411,0.7780983981672013,0.7139325322299075
DeepLearning_grid_2_AutoML_1_20230326_131315_model_5,0.7757274662881476,0.7746410241379003,0.7757274662881476,0.7751691078625723,0.7142811699978115
DeepLearning_grid_3_AutoML_1_20230326_131315_model_3,0.7572746628814763,0.776301951113982,0.7572746628814763,0.7640880362254129,0.7277915197043959
DeepLearning_grid_3_AutoML_1_20230326_131315_model_6,0.7402413058907026,0.8019682617636551,0.7402413058907026,0.7536236057269534,0.7619122145369226
GBM_4_AutoML_1_20230326_131315,0.7508871540099361,0.7768435164307961,0.7508871540099361,0.7594158576721362,0.7299507835442974
DeepLearning_grid_2_AutoML_1_20230326_131315_model_3,0.7615330021291696,0.7899850975226292,0.7615330021291696,0.7702762013696982,0.7478967217870612
DeepLearning_grid_1_AutoML_1_20230326_131315_model_6,0.7714691270404542,0.7753615076548968,0.7714691270404542,0.7732519847002611,0.7195387293298521
GLM_1_AutoML_1_20230326_131315,0.7899219304471257,0.7840706813783619,0.7899219304471257,0.7863489243191158,0.719118837127632
DeepLearning_grid_3_AutoML_1_20230326_131315_model_5,0.7792760823278921,0.7813124968731875,0.7792760823278921,0.7802436807151719,0.7257175067055512
DeepLearning_grid_1_AutoML_1_20230326_131315_model_1,0.7892122072391767,0.7826660055393012,0.7892122072391767,0.7851071832171136,0.7161770469108658
GBM_grid_1_AutoML_1_20230326_131315_model_10,0.7430801987224982,0.7736499296585423,0.7430801987224982,0.7527160388147024,0.7262264669506664
GBM_grid_1_AutoML_1_20230326_131315_model_14,0.7913413768630234,0.7906659317024722,0.7913413768630234,0.790996691749178,0.7348202606894376
GBM_grid_1_AutoML_1_20230326_131315_model_4,0.7608232789212207,0.7884737999704868,0.7608232789212207,0.7694381511524446,0.745773085164318
DeepLearning_grid_3_AutoML_1_20230326_131315_model_1,0.7665010645848119,0.7927479546403041,0.7665010645848119,0.7747059502541638,0.7513080278299461
GBM_5_AutoML_1_20230326_131315,0.752306600425834,0.7897437786105095,0.752306600425834,0.7627771088086613,0.7481066678881713
GBM_grid_1_AutoML_1_20230326_131315_model_9,0.751596877217885,0.788164228169608,0.751596877217885,0.7619661562463201,0.7459830312654279
GBM_grid_1_AutoML_1_20230326_131315_model_6,0.7842441447835344,0.7911522199984878,0.7842441447835344,0.7871601539596209,0.7422192702528005
GBM_grid_1_AutoML_1_20230326_131315_model_2,0.7757274662881476,0.7828465644330583,0.7757274662881476,0.7787585810896059,0.7314623954722896
GBM_2_AutoML_1_20230326_131315,0.7622427253371186,0.7768380634645987,0.7622427253371186,0.7677918641324591,0.727112057777167
GBM_grid_1_AutoML_1_20230326_131315_model_3,0.7622427253371186,0.7823218916404163,0.7622427253371186,0.7692274159047412,0.7361117473114174
GBM_grid_1_AutoML_1_20230326_131315_model_11,0.7643718949609652,0.791004900945774,0.7643718949609652,0.7727039315629471,0.7490278859318299
DeepLearning_grid_3_AutoML_1_20230326_131315_model_2,0.7501774308019872,0.7923838487713045,0.7501774308019872,0.761354452481593,0.7515536011482142
