model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_3_AutoML_1_20230326_135623_model_2,0.6550745209368346,0.7941050413775268,0.6550745209368346,0.6726073078599548,0.7263409830058174
DeepLearning_grid_3_AutoML_1_20230326_135623_model_2,0.6550745209368346,0.7941050413775268,0.6550745209368346,0.6726073078599548,0.7263409830058174
GLM_1_AutoML_1_20230326_135623,0.6983676366217175,0.8106045210730805,0.6983676366217175,0.7147898457281843,0.7577043857104322
DeepLearning_grid_2_AutoML_1_20230326_135623_model_3,0.7345635202271115,0.7936840422708581,0.7345635202271115,0.7480412598631301,0.7514683503071575
XRT_1_AutoML_1_20230326_135623,0.7111426543647977,0.7951365658411073,0.7111426543647977,0.7269451533570346,0.7476587828724699
DeepLearning_grid_1_AutoML_1_20230326_135623_model_3,0.694819020581973,0.8009852496837134,0.694819020581973,0.7115519082295318,0.7479043561907379
DeepLearning_grid_3_AutoML_1_20230326_135623_model_7,0.6784953867991483,0.7895765040643987,0.6784953867991483,0.6960220362087882,0.7317868576285506
DeepLearning_grid_3_AutoML_1_20230326_135623_model_3,0.6827537260468417,0.8082913347355483,0.6827537260468417,0.6995859639705094,0.7494375989291477
DeepLearning_grid_2_AutoML_1_20230326_135623_model_8,0.723207948899929,0.796127184917863,0.723207948899929,0.7380306688066905,0.7518526152922196
DeepLearning_grid_1_AutoML_1_20230326_135623_model_6,0.6863023420865862,0.7988614510223145,0.6863023420865862,0.7033700001867537,0.7428745565683865
DeepLearning_grid_3_AutoML_1_20230326_135623_model_6,0.7125621007806955,0.7973369587018161,0.7125621007806955,0.7283027347043186,0.750269748929911
DeepLearning_1_AutoML_1_20230326_135623,0.7338537970191625,0.7940762868697407,0.7338537970191625,0.7474439498235327,0.7517991744664825
DeepLearning_grid_2_AutoML_1_20230326_135623_model_7,0.6713981547196594,0.7869929386929417,0.6713981547196594,0.689183882301943,0.7269135632815721
DeepLearning_grid_2_AutoML_1_20230326_135623_model_6,0.6465578424414479,0.7770979964641328,0.6465578424414479,0.664992573410411,0.7090388794731245
DeepLearning_grid_1_AutoML_1_20230326_135623_model_2,0.6969481902058198,0.7861877181978159,0.6969481902058198,0.7136082170065111,0.7346395798024216
DeepLearning_grid_2_AutoML_1_20230326_135623_model_2,0.6721078779276083,0.7900588865822659,0.6721078779276083,0.6897794794471912,0.7298553534983383
DeepLearning_grid_1_AutoML_1_20230326_135623_model_7,0.6706884315117104,0.7812356771595004,0.6706884315117104,0.6886517165923988,0.7215173122827376
DeepLearning_grid_3_AutoML_1_20230326_135623_model_5,0.6891412349183819,0.7830943418794334,0.6891412349183819,0.7062661039813835,0.7292789560207452
DeepLearning_grid_1_AutoML_1_20230326_135623_model_1,0.7203690560681334,0.7773845079017524,0.7203690560681334,0.7343393716027669,0.7302676112968816
GBM_grid_1_AutoML_1_20230326_135623_model_14,0.7672107877927609,0.8017196527571012,0.7672107877927609,0.7767600475056373,0.7640676611749857
DeepLearning_grid_3_AutoML_1_20230326_135623_model_8,0.694819020581973,0.7973796612125739,0.694819020581973,0.7115989283006475,0.744631741814647
DeepLearning_grid_2_AutoML_1_20230326_135623_model_4,0.6898509581263307,0.7728147767312725,0.6898509581263307,0.7067802970171125,0.719130288733147
DeepLearning_grid_1_AutoML_1_20230326_135623_model_8,0.7118523775727467,0.7898310928852946,0.7118523775727467,0.7274587438798478,0.7424190371490084
GBM_grid_1_AutoML_1_20230326_135623_model_7,0.7423704755145494,0.8095695561076661,0.7423704755145494,0.7559515663046974,0.7707375851872209
DeepLearning_grid_3_AutoML_1_20230326_135623_model_1,0.6671398154719659,0.7892476661444586,0.6671398154719659,0.6849205884169547,0.727262201049476
GBM_grid_1_AutoML_1_20230326_135623_model_6,0.7416607523066004,0.7948530631349132,0.7416607523066004,0.7543372984349711,0.7538871838720678
DeepLearning_grid_1_AutoML_1_20230326_135623_model_4,0.7154009936124911,0.7689280245455173,0.7154009936124911,0.7292655253215204,0.7194929229077917
GBM_grid_1_AutoML_1_20230326_135623_model_11,0.7643718949609652,0.7984419417673347,0.7643718949609652,0.7739506049769725,0.759663882654126
GBM_grid_1_AutoML_1_20230326_135623_model_17,0.7452093683463449,0.795170405027517,0.7452093683463449,0.7574335042020006,0.7546875238575115
GBM_grid_1_AutoML_1_20230326_135623_model_16,0.7217885024840313,0.8084183793350911,0.7217885024840313,0.7370570187162523,0.7639684139271881
GBM_grid_1_AutoML_1_20230326_135623_model_2,0.7253371185237757,0.8081383807152253,0.7253371185237757,0.7403468473934803,0.7647687539126319
GBM_grid_1_AutoML_1_20230326_135623_model_9,0.758694109297374,0.799174343169915,0.758694109297374,0.7693380615719843,0.7606741687406796
DeepLearning_grid_3_AutoML_1_20230326_135623_model_4,0.6749467707594038,0.7749718755927858,0.6749467707594038,0.6928433102696372,0.7170779065447197
DeepLearning_grid_2_AutoML_1_20230326_135623_model_1,0.7054648687012065,0.7741986064251074,0.7054648687012065,0.7209914601004117,0.7241244611383404
GBM_grid_1_AutoML_1_20230326_135623_model_3,0.7274662881476224,0.7934271527601083,0.7274662881476224,0.7417319001504401,0.74986767033627
DeepLearning_grid_2_AutoML_1_20230326_135623_model_5,0.6870120652945352,0.7684936583458507,0.6870120652945352,0.7040527939334569,0.7139083566182645
GBM_1_AutoML_1_20230326_135623,0.7154009936124911,0.7952456964546275,0.7154009936124911,0.7308744678256149,0.7489464522926115
DeepLearning_grid_1_AutoML_1_20230326_135623_model_5,0.7182398864442867,0.7806203656998081,0.7182398864442867,0.7327306339660766,0.7337145445569246
GBM_5_AutoML_1_20230326_135623,0.7444996451383961,0.7802558367890476,0.7444996451383961,0.7549805399452116,0.7353826617602899
GBM_grid_1_AutoML_1_20230326_135623_model_4,0.7288857345635202,0.7679178661148182,0.7288857345635202,0.7403933293781187,0.7189343390387777
GBM_grid_1_AutoML_1_20230326_135623_model_12,0.7423704755145494,0.7773498000325654,0.7423704755145494,0.7527955080585865,0.7314662126741279
GBM_2_AutoML_1_20230326_135623,0.7352732434350603,0.7712372066859251,0.7352732434350603,0.746083915522199,0.7233203039510585
GBM_grid_1_AutoML_1_20230326_135623_model_1,0.7459190915542938,0.7740738201224824,0.7459190915542938,0.7550154318678556,0.7265394775014123
GBM_4_AutoML_1_20230326_135623,0.7430801987224982,0.7586817696560801,0.7430801987224982,0.7491512879579347,0.7033181663180289
GBM_3_AutoML_1_20230326_135623,0.7480482611781405,0.7551731511034193,0.7480482611781405,0.751192228595612,0.6952753220445951
GBM_grid_1_AutoML_1_20230326_135623_model_10,0.7530163236337828,0.7454367395635946,0.7530163236337828,0.748573586222521,0.6716875594847286
GBM_grid_1_AutoML_1_20230326_135623_model_5,0.7459190915542938,0.7369582270417084,0.7459190915542938,0.7405880617956094,0.660269036385568
DRF_1_AutoML_1_20230326_135623,0.7452093683463449,0.7585139627389853,0.7452093683463449,0.7505487020775913,0.702325693840054
GBM_grid_1_AutoML_1_20230326_135623_model_15,0.7608232789212207,0.7638356577668824,0.7608232789212207,0.7622394892180295,0.7040472518691565
GBM_grid_1_AutoML_1_20230326_135623_model_13,0.7537260468417317,0.7322549548671867,0.7537260468417317,0.7342397139892713,0.6320853628123108
GBM_grid_1_AutoML_1_20230326_135623_model_8,0.7544357700496807,0.7296157186227232,0.7544357700496807,0.7163164778936587,0.599028394892075
