model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_1_AutoML_1_20230326_143039_model_3,0.6224272533711852,0.8059472713603951,0.6224272533711852,0.6375092519989766,0.7194687472961486
DeepLearning_grid_1_AutoML_1_20230326_143039_model_3,0.6224272533711852,0.8059472713603951,0.6224272533711852,0.6375092519989766,0.7194687472961486
DeepLearning_grid_2_AutoML_1_20230326_143039_model_6,0.6969481902058198,0.8008511959591078,0.6969481902058198,0.7135957726392239,0.7485481909008088
GLM_1_AutoML_1_20230326_143039,0.680624556422995,0.8045993314301004,0.680624556422995,0.6976287571044877,0.7455211498429858
DeepLearning_1_AutoML_1_20230326_143039,0.6444286728176012,0.8096260852132985,0.6444286728176012,0.6605274138427719,0.7329396525837366
DeepLearning_grid_2_AutoML_1_20230326_143039_model_3,0.6181689141234918,0.7889235836715213,0.6181689141234918,0.6346371345122856,0.7059087739656655
DeepLearning_grid_1_AutoML_1_20230326_143039_model_6,0.7012065294535131,0.7887099230052195,0.7012065294535131,0.7176107922439798,0.7383817100046315
DeepLearning_grid_3_AutoML_1_20230326_143039_model_6,0.7040454222853088,0.7826671304804206,0.7040454222853088,0.7200875844687837,0.732967645397218
DeepLearning_grid_3_AutoML_1_20230326_143039_model_3,0.6550745209368346,0.7920433607874714,0.6550745209368346,0.6727295492032594,0.724704675817772
DeepLearning_grid_2_AutoML_1_20230326_143039_model_2,0.6579134137686302,0.7889657109742928,0.6579134137686302,0.6757558642245343,0.7233813791804723
DeepLearning_grid_2_AutoML_1_20230326_143039_model_8,0.7004968062455642,0.7900803805195774,0.7004968062455642,0.716966408349553,0.7395306877579791
DeepLearning_grid_1_AutoML_1_20230326_143039_model_7,0.6621717530163236,0.7808383349169923,0.6621717530163236,0.6803453693695501,0.7181238198484318
DeepLearning_grid_3_AutoML_1_20230326_143039_model_2,0.6664300922640171,0.7938690936478028,0.6664300922640171,0.6840193515841902,0.730865639584892
DeepLearning_grid_1_AutoML_1_20230326_143039_model_8,0.6841731724627396,0.7761228724137997,0.6841731724627396,0.7015601015563615,0.7209587284137235
GBM_grid_1_AutoML_1_20230326_143039_model_7,0.7217885024840313,0.8075810402644823,0.7217885024840313,0.7370446306383258,0.7631502603331655
DeepLearning_grid_3_AutoML_1_20230326_143039_model_8,0.7047551454932577,0.801080456121538,0.7047551454932577,0.7210230050101671,0.7514543539004169
GBM_grid_1_AutoML_1_20230326_143039_model_14,0.7288857345635202,0.8047226632118525,0.7288857345635202,0.7435191624601087,0.7622964795219845
GBM_grid_1_AutoML_1_20230326_143039_model_11,0.7388218594748048,0.8103820518925098,0.7388218594748048,0.7527779629550637,0.7707553987957999
DeepLearning_grid_2_AutoML_1_20230326_143039_model_5,0.6969481902058198,0.8008511959591078,0.6969481902058198,0.7135957726392239,0.7485481909008088
DeepLearning_grid_1_AutoML_1_20230326_143039_model_1,0.6749467707594038,0.7864464202701874,0.6749467707594038,0.6926556523285008,0.7277139032670159
GBM_grid_1_AutoML_1_20230326_143039_model_6,0.7217885024840313,0.8002394116824085,0.7217885024840313,0.7368807943481701,0.7557868779869604
GBM_grid_1_AutoML_1_20230326_143039_model_16,0.7288857345635202,0.794785379025862,0.7288857345635202,0.7430770465038232,0.7516604827996884
DeepLearning_grid_1_AutoML_1_20230326_143039_model_4,0.7012065294535131,0.7954165216544221,0.7012065294535131,0.7176680220023185,0.7449269387568138
