model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_3_AutoML_1_20230326_150136_model_3,0.5351312987934705,0.7348349731595927,0.5351312987934705,0.5487408864468568,0.6317100046315383
DeepLearning_grid_3_AutoML_1_20230326_150136_model_3,0.5351312987934705,0.7348349731595927,0.5351312987934705,0.5487408864468568,0.6317100046315383
DeepLearning_grid_1_AutoML_1_20230326_150136_model_6,0.7345635202271115,0.7714654991326414,0.7345635202271115,0.7455486169226678,0.7236511281103832
DeepLearning_grid_3_AutoML_1_20230326_150136_model_4,0.7104329311568488,0.763216553857497,0.7104329311568488,0.7244340713440603,0.7119908488947928
DeepLearning_1_AutoML_1_20230326_150136,0.723207948899929,0.7878877576825497,0.723207948899929,0.7376087171929175,0.742852925757969
DeepLearning_grid_2_AutoML_1_20230326_150136_model_5,0.64513839602555,0.7908407401973353,0.64513839602555,0.6626941026404295,0.7195183709200474
DeepLearning_grid_1_AutoML_1_20230326_150136_model_4,0.7331440738112136,0.7801221787419564,0.7331440738112136,0.7455555278497726,0.7349487731513292
DeepLearning_grid_1_AutoML_1_20230326_150136_model_5,0.716820440028389,0.7689380264187381,0.716820440028389,0.7304776923478332,0.7196494281831647
DeepLearning_grid_2_AutoML_1_20230326_150136_model_3,0.7530163236337828,0.776427170240242,0.7530163236337828,0.7609499250011763,0.7289583110663227
DeepLearning_grid_3_AutoML_1_20230326_150136_model_7,0.6983676366217175,0.7834964372997577,0.6983676366217175,0.7148855858008282,0.7323416242957264
GBM_grid_1_AutoML_1_20230326_150136_model_10,0.7615330021291696,0.7740104930131014,0.7615330021291696,0.7664574753289615,0.7225339603723553
DeepLearning_grid_2_AutoML_1_20230326_150136_model_7,0.7097232079489,0.7642139885732374,0.7097232079489,0.723933063031412,0.7131398266481406
DeepLearning_grid_1_AutoML_1_20230326_150136_model_8,0.7466288147622427,0.7755892950819054,0.7466288147622427,0.7558643133588362,0.7286631141241557
GBM_2_AutoML_1_20230326_150136,0.6557842441447835,0.8006612569254471,0.6557842441447835,0.6729188154548866,0.731737234004652
GBM_grid_1_AutoML_1_20230326_150136_model_5,0.7310149041873669,0.7752200453655016,0.7310149041873669,0.7431728063007617,0.7285778632830989
GBM_grid_1_AutoML_1_20230326_150136_model_14,0.6657203690560681,0.8102146728655322,0.6657203690560681,0.6824270969818963,0.7434687676545586
DeepLearning_grid_1_AutoML_1_20230326_150136_model_3,0.7012065294535131,0.8006325992184706,0.7012065294535131,0.7176599084285875,0.7498358603209504
DeepLearning_grid_1_AutoML_1_20230326_150136_model_7,0.7366926898509581,0.7786947566392664,0.7366926898509581,0.7483490932209129,0.7332946523547045
