model,accuracy,precision,recall,f1,roc_auc
GBM_grid_1_AutoML_1_20230326_154403_model_8,0.631653655074521,0.7853481864552678,0.631653655074521,0.6491780964106054,0.7094409580667653
GBM_grid_1_AutoML_1_20230326_154403_model_8,0.631653655074521,0.7853481864552678,0.631653655074521,0.6491780964106054,0.7094409580667653
DeepLearning_grid_2_AutoML_1_20230326_154403_model_4,0.6543647977288858,0.7808618158265472,0.6543647977288858,0.672613525965043,0.7152176568488235
DeepLearning_grid_1_AutoML_1_20230326_154403_model_5,0.5855216465578424,0.7945279125739768,0.5855216465578424,0.5981061624379237,0.6933094630978374
GBM_grid_1_AutoML_1_20230326_154403_model_15,0.7217885024840313,0.7829354420446033,0.7217885024840313,0.7360207187820207,0.7369693453244368
DeepLearning_grid_1_AutoML_1_20230326_154403_model_1,0.6955287437899219,0.783157152626828,0.6955287437899219,0.7122447265384023,0.7312104601509576
GBM_grid_1_AutoML_1_20230326_154403_model_13,0.7033356990773598,0.7831536435738765,0.7033356990773598,0.7194534220270762,0.733298469556543
GBM_5_AutoML_1_20230326_154403,0.6713981547196594,0.8015356117188419,0.6713981547196594,0.6886101787195564,0.7391858671919136
DeepLearning_grid_3_AutoML_1_20230326_154403_model_7,0.6557842441447835,0.7985288755286998,0.6557842441447835,0.6730550207443955,0.7301009268166063
GBM_grid_1_AutoML_1_20230326_154403_model_12,0.6607523066004258,0.7990792652820664,0.6607523066004258,0.678057240987857,0.7326940792654686
DRF_1_AutoML_1_20230326_154403,0.6863023420865862,0.7819779591117347,0.6863023420865862,0.7035870998218666,0.7273296382819538
DeepLearning_grid_3_AutoML_1_20230326_154403_model_8,0.6699787083037615,0.7921683788330233,0.6699787083037615,0.6876078328654242,0.730847825976313
DeepLearning_grid_1_AutoML_1_20230326_154403_model_8,0.6408800567778566,0.8016206225745118,0.6408800567778566,0.657473536845288,0.7255940838461108
GBM_2_AutoML_1_20230326_154403,0.7459190915542938,0.7804077110761996,0.7459190915542938,0.756152778655845,0.7355391670356629
DeepLearning_grid_2_AutoML_1_20230326_154403_model_7,0.5990063875088716,0.7904453141712129,0.5990063875088716,0.6136732935961143,0.6976598007929601
DeepLearning_grid_2_AutoML_1_20230326_154403_model_8,0.6905606813342796,0.7787043360779117,0.6905606813342796,0.7075555074352721,0.7253446933260043
DeepLearning_grid_1_AutoML_1_20230326_154403_model_6,0.5855216465578424,0.8088016436107144,0.5855216465578424,0.5962472483788017,0.7014909990380651
DeepLearning_grid_3_AutoML_1_20230326_154403_model_2,0.6678495386799148,0.783843930420542,0.6678495386799148,0.68581264079002,0.7228406089200372
GBM_grid_1_AutoML_1_20230326_154403_model_2,0.7012065294535131,0.8078520793199664,0.7012065294535131,0.7175821089109349,0.7563810890731326
DeepLearning_grid_2_AutoML_1_20230326_154403_model_3,0.6529453513129879,0.8030347790593196,0.6529453513129879,0.6698552053365073,0.7322423770479287
DeepLearning_grid_2_AutoML_1_20230326_154403_model_6,0.6252661462029808,0.7843563043026509,0.6252661462029808,0.6425810819255179,0.7058731467485073
DeepLearning_grid_2_AutoML_1_20230326_154403_model_1,0.7437899219304471,0.7951714744371187,0.7437899219304471,0.7562095817350939,0.7545310185821386
GBM_4_AutoML_1_20230326_154403,0.6692689850958127,0.8039076999892019,0.6692689850958127,0.6863639366913077,0.7401783396698883
GBM_grid_1_AutoML_1_20230326_154403_model_7,0.6990773598296665,0.811798481720816,0.6990773598296665,0.7154499549302794,0.7590098687391529
DeepLearning_grid_3_AutoML_1_20230326_154403_model_3,0.6302342086586231,0.7972752134331046,0.6302342086586231,0.646667425677276,0.7174659887316203
DeepLearning_grid_3_AutoML_1_20230326_154403_model_4,0.6430092264017033,0.794455168158527,0.6430092264017033,0.6602432777365164,0.721328996992045
DeepLearning_grid_1_AutoML_1_20230326_154403_model_2,0.6763662171753017,0.7781020480696363,0.6763662171753017,0.6941699760271257,0.7205070261961838
DeepLearning_grid_1_AutoML_1_20230326_154403_model_3,0.7047551454932577,0.7942557540504025,0.7047551454932577,0.7209905826384219,0.7449091251482347
DeepLearning_grid_1_AutoML_1_20230326_154403_model_4,0.7416607523066004,0.7862424040539586,0.7416607523066004,0.7534532278662355,0.7432511871497717
GBM_grid_1_AutoML_1_20230326_154403_model_17,0.6685592618878637,0.8078695881964516,0.6685592618878637,0.685436443965342,0.7429636246112817
GBM_grid_1_AutoML_1_20230326_154403_model_5,0.6834634492547906,0.8016605537405482,0.6834634492547906,0.7005230472585439,0.7441978532056862
DeepLearning_grid_2_AutoML_1_20230326_154403_model_2,0.7494677075940384,0.7840581906628186,0.7494677075940384,0.7596055491589011,0.7404302749912205
GBM_grid_1_AutoML_1_20230326_154403_model_11,0.6266855926188787,0.810893165415122,0.6266855926188787,0.6415974935177853,0.7248471846864042
XRT_1_AutoML_1_20230326_154403,0.5762952448545068,0.7948086217596544,0.5762952448545068,0.5875547854577765,0.6886104876348109
