model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_1_AutoML_1_20230326_164000_model_3,0.6621717530163236,0.8080470031144178,0.6621717530163236,0.6789541532786967,0.7402139668870464
DeepLearning_grid_1_AutoML_1_20230326_164000_model_3,0.6621717530163236,0.8080470031144178,0.6621717530163236,0.6789541532786967,0.7402139668870464
GLM_1_AutoML_1_20230326_164000,0.7665010645848119,0.7879312389660645,0.7665010645848119,0.7737153794257353,0.7439446454837413
DeepLearning_1_AutoML_1_20230326_164000,0.7459190915542938,0.781597325287051,0.7459190915542938,0.7563417591677383,0.7371754742237082
DeepLearning_grid_2_AutoML_1_20230326_164000_model_6,0.6657203690560681,0.7704970274057708,0.6657203690560681,0.6840705158015953,0.7099244702996249
DeepLearning_grid_2_AutoML_1_20230326_164000_model_3,0.7132718239886444,0.7798448901025725,0.7132718239886444,0.7282804366166089,0.7319395457020852
DeepLearning_grid_3_AutoML_1_20230326_164000_model_3,0.673527324343506,0.7850110152118569,0.673527324343506,0.6913135372731667,0.7259210908035973
DeepLearning_grid_3_AutoML_1_20230326_164000_model_6,0.6870120652945352,0.7848084527717909,0.6870120652945352,0.7042549568156369,0.7302714284987201
DeepLearning_grid_2_AutoML_1_20230326_164000_model_2,0.6572036905606813,0.7857559666244469,0.6572036905606813,0.675208291185964,0.7204395889637061
DeepLearning_grid_1_AutoML_1_20230326_164000_model_6,0.7352732434350603,0.7877731098945373,0.7352732434350603,0.7481696781669007,0.7445922973956502
DeepLearning_grid_1_AutoML_1_20230326_164000_model_7,0.7281760113555713,0.7915424503746155,0.7281760113555713,0.7422504777115324,0.7479005389888996
DeepLearning_grid_3_AutoML_1_20230326_164000_model_2,0.7608232789212207,0.7857260448243532,0.7608232789212207,0.7689018327996769,0.7416823171942041
DeepLearning_grid_2_AutoML_1_20230326_164000_model_4,0.7402413058907026,0.7811119123476936,0.7402413058907026,0.7516154040507588,0.7365494531222166
DeepLearning_grid_1_AutoML_1_20230326_164000_model_8,0.751596877217885,0.788164228169608,0.751596877217885,0.7619661562463201,0.7459830312654279
DeepLearning_grid_2_AutoML_1_20230326_164000_model_8,0.6820440028388929,0.7846332922012248,0.6820440028388929,0.6995263252992795,0.7284964296438805
DeepLearning_grid_3_AutoML_1_20230326_164000_model_5,0.6997870830376153,0.7769997362764542,0.6997870830376153,0.7160055468319079,0.7259529008189171
DeepLearning_grid_3_AutoML_1_20230326_164000_model_7,0.7239176721078779,0.7763326819429989,0.7239176721078779,0.7373006296259046,0.7294316440942799
DeepLearning_grid_1_AutoML_1_20230326_164000_model_4,0.7203690560681334,0.8004643273868953,0.7203690560681334,0.7355831839964732,0.7556303727115875
DeepLearning_grid_1_AutoML_1_20230326_164000_model_1,0.7416607523066004,0.7914743853713271,0.7416607523066004,0.7540222458692216,0.7497964159019539
DeepLearning_grid_1_AutoML_1_20230326_164000_model_2,0.7295954577714692,0.8018907268054735,0.7295954577714692,0.7440604921497356,0.7595111945805914
DeepLearning_grid_3_AutoML_1_20230326_164000_model_1,0.7182398864442867,0.7777922153108836,0.7182398864442867,0.7325188723047541,0.7304419301808336
DeepLearning_grid_3_AutoML_1_20230326_164000_model_8,0.7033356990773598,0.773260598437806,0.7033356990773598,0.7190366614714073,0.7226624728342469
DeepLearning_grid_2_AutoML_1_20230326_164000_model_7,0.7444996451383961,0.7727288892512172,0.7444996451383961,0.7536468029956088,0.7247466650379939
GBM_grid_1_AutoML_1_20230326_164000_model_14,0.7558552164655784,0.7880418275629265,0.7558552164655784,0.7654065654929099,0.7456343934975239
GBM_grid_1_AutoML_1_20230326_164000_model_6,0.7565649396735273,0.7901759250121578,0.7565649396735273,0.7663237680939949,0.7485761837142901
DeepLearning_grid_2_AutoML_1_20230326_164000_model_1,0.7508871540099361,0.7762963465322894,0.7508871540099361,0.7593013154679126,0.7291326299502745
GBM_grid_1_AutoML_1_20230326_164000_model_16,0.7409510290986515,0.7884878486570387,0.7409510290986515,0.7531068221292041,0.746036472091165
DeepLearning_grid_3_AutoML_1_20230326_164000_model_4,0.7239176721078779,0.7756640266713757,0.7239176721078779,0.7372326374017721,0.728613490500257
GBM_grid_1_AutoML_1_20230326_164000_model_11,0.765791341376863,0.7929028523201965,0.765791341376863,0.7741762360793082,0.7516388519892712
GBM_grid_1_AutoML_1_20230326_164000_model_17,0.7721788502484032,0.7897818649987588,0.7721788502484032,0.7783910489591015,0.7453888201792558
GBM_grid_1_AutoML_1_20230326_164000_model_7,0.7615330021291696,0.7905482659975174,0.7615330021291696,0.770377141207885,0.7487148753810839
DeepLearning_grid_1_AutoML_1_20230326_164000_model_5,0.7352732434350603,0.7706414094023121,0.7352732434350603,0.7459854669582722,0.7225021503570357
GBM_grid_1_AutoML_1_20230326_164000_model_9,0.7643718949609652,0.7882863112953845,0.7643718949609652,0.7721655466025358,0.744937117961716
