model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_2_AutoML_1_20230326_155756_model_4,0.7388218594748048,0.7754896734215103,0.7388218594748048,0.7496307246725715,0.7290295655006387
DeepLearning_grid_2_AutoML_1_20230326_155756_model_4,0.7388218594748048,0.7754896734215103,0.7388218594748048,0.7496307246725715,0.7290295655006387
DeepLearning_grid_3_AutoML_1_20230326_155756_model_4,0.7295954577714692,0.7837458196635868,0.7295954577714692,0.7428952503050684,0.739057354730022
DeepLearning_grid_2_AutoML_1_20230326_155756_model_3,0.6784953867991483,0.7914176255266577,0.6784953867991483,0.6959757680490396,0.7334231648165963
DeepLearning_grid_1_AutoML_1_20230326_155756_model_8,0.7189496096522356,0.7860130126240793,0.7189496096522356,0.7337036874894705,0.7399289491497818
DeepLearning_grid_1_AutoML_1_20230326_155756_model_1,0.7650816181689141,0.7776661344426183,0.7650816181689141,0.7700045136147151,0.7274250683279129
DeepLearning_grid_3_AutoML_1_20230326_155756_model_5,0.7601135557132718,0.7740696794716735,0.7601135557132718,0.7655008384939856,0.7231956086910051
DeepLearning_1_AutoML_1_20230326_155756,0.7295954577714692,0.8018907268054735,0.7295954577714692,0.7440604921497356,0.7595111945805914
DeepLearning_grid_2_AutoML_1_20230326_155756_model_6,0.6941092973740242,0.7746004650730139,0.6941092973740242,0.7107403881118206,0.7220542653413341
DeepLearning_grid_2_AutoML_1_20230326_155756_model_7,0.7054648687012065,0.7856112551432078,0.7054648687012065,0.7214785639591775,0.736396765048682
DeepLearning_grid_3_AutoML_1_20230326_155756_model_6,0.7246273953158269,0.802191376062287,0.7246273953158269,0.739541853757096,0.7585543493197746
DeepLearning_grid_2_AutoML_1_20230326_155756_model_8,0.7530163236337828,0.7824856474291858,0.7530163236337828,0.7621763248224526,0.7379580006005731
GLM_1_AutoML_1_20230326_155756,0.7224982256919801,0.8061982850636059,0.7224982256919801,0.7376794962226058,0.7620012825798177
DeepLearning_grid_3_AutoML_1_20230326_155756_model_1,0.7735982966643009,0.7831605494984352,0.7735982966643009,0.7774889172922141,0.7332730215442872
DeepLearning_grid_3_AutoML_1_20230326_155756_model_3,0.7650816181689141,0.7795647853286702,0.7650816181689141,0.7705644985905792,0.7306976827040041
DeepLearning_grid_3_AutoML_1_20230326_155756_model_7,0.7530163236337828,0.7743097155932019,0.7530163236337828,0.7604613170465345,0.7256856966902315
DeepLearning_grid_1_AutoML_1_20230326_155756_model_7,0.7217885024840313,0.7902160430187386,0.7217885024840313,0.7364743129992363,0.7451508812646643
DeepLearning_grid_1_AutoML_1_20230326_155756_model_3,0.7338537970191625,0.7824263997614183,0.7338537970191625,0.7464145900185544,0.7378905633680953
DeepLearning_grid_3_AutoML_1_20230326_155756_model_8,0.765791341376863,0.7771885974386084,0.765791341376863,0.7703381080192172,0.7262760905745652
DeepLearning_grid_1_AutoML_1_20230326_155756_model_6,0.7615330021291696,0.7975534521344203,0.7615330021291696,0.7714875099964673,0.7585327185093571
