model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_1_AutoML_1_20230326_161138_model_8,0.758694109297374,0.7850716736044413,0.758694109297374,0.7671193869503498,0.7410384824841332
DeepLearning_grid_1_AutoML_1_20230326_161138_model_8,0.758694109297374,0.7850716736044413,0.758694109297374,0.7671193869503498,0.7410384824841332
XRT_1_AutoML_1_20230326_161138,0.7189496096522356,0.7966979168725125,0.7189496096522356,0.7341715827005412,0.7513830994661007
DeepLearning_grid_3_AutoML_1_20230326_161138_model_3,0.7615330021291696,0.7963536987650875,0.7615330021291696,0.7713151706155309,0.7568964113213117
DeepLearning_grid_1_AutoML_1_20230326_161138_model_5,0.7693399574166075,0.7906328657175935,0.7693399574166075,0.7764665602229909,0.7475302704105782
DeepLearning_grid_2_AutoML_1_20230326_161138_model_4,0.7643718949609652,0.7786429527172599,0.7643718949609652,0.7698024506150246,0.7293921996752833
DeepLearning_grid_1_AutoML_1_20230326_161138_model_7,0.7210787792760823,0.7790977592495678,0.7210787792760823,0.7351013997930624,0.7323912479196251
DeepLearning_grid_3_AutoML_1_20230326_161138_model_8,0.7452093683463449,0.7824306143760608,0.7452093683463449,0.7558904862525475,0.738324451977056
DeepLearning_grid_3_AutoML_1_20230326_161138_model_6,0.772888573456352,0.7863551031726852,0.772888573456352,0.7779889595209332,0.7393309208617715
DeepLearning_grid_2_AutoML_1_20230326_161138_model_2,0.7899219304471257,0.7889071786153669,0.7899219304471257,0.7893989111624095,0.7322092946319962
GLM_1_AutoML_1_20230326_161138,0.7735982966643009,0.7896652762408871,0.7735982966643009,0.7793990797254499,0.744727171860606
DeepLearning_grid_2_AutoML_1_20230326_161138_model_6,0.7693399574166075,0.7755490439446214,0.7693399574166075,0.7720567773120293,0.7213493554018495
DeepLearning_grid_1_AutoML_1_20230326_161138_model_3,0.7224982256919801,0.7743188266208482,0.7224982256919801,0.7358816483909844,0.7268206780368385
DeepLearning_1_AutoML_1_20230326_161138,0.7480482611781405,0.782716512536768,0.7480482611781405,0.7582435409388383,0.738637462527802
DeepLearning_grid_2_AutoML_1_20230326_161138_model_7,0.7615330021291696,0.7808762678096076,0.7615330021291696,0.768352600878333,0.7339881106886742
DeepLearning_grid_3_AutoML_1_20230326_161138_model_4,0.7672107877927609,0.7745409088676288,0.7672107877927609,0.7703570082195909,0.7207055206917788
DeepLearning_grid_3_AutoML_1_20230326_161138_model_7,0.7750177430801988,0.7786578976243759,0.7750177430801988,0.7766891393337609,0.723611683691387
DeepLearning_grid_1_AutoML_1_20230326_161138_model_2,0.7338537970191625,0.7817709260795132,0.7338537970191625,0.7463426254752096,0.7370724097740726
DeepLearning_grid_1_AutoML_1_20230326_161138_model_4,0.7310149041873669,0.7797389913900679,0.7310149041873669,0.7437096789787524,0.7343049384412584
GBM_grid_1_AutoML_1_20230326_161138_model_11,0.7622427253371186,0.7937925191937137,0.7622427253371186,0.771497274410227,0.7532929727858957
GBM_grid_1_AutoML_1_20230326_161138_model_7,0.7601135557132718,0.7992694813708214,0.7601135557132718,0.770538890557579,0.7608306740160526
DeepLearning_grid_1_AutoML_1_20230326_161138_model_6,0.7821149751596878,0.7872347602496991,0.7821149751596878,0.7843716741979666,0.7358483603845704
GBM_grid_1_AutoML_1_20230326_161138_model_2,0.7558552164655784,0.7886247684824366,0.7558552164655784,0.7655019196898566,0.7464525470915466
DeepLearning_grid_3_AutoML_1_20230326_161138_model_1,0.7707594038325053,0.7874366798753589,0.7707594038325053,0.7767601327915705,0.7419597005277917
DeepLearning_grid_2_AutoML_1_20230326_161138_model_8,0.7700496806245565,0.7840986139848666,0.7700496806245565,0.7753493795158674,0.7365634495289574
DeepLearning_grid_3_AutoML_1_20230326_161138_model_2,0.7629524485450674,0.782230505206177,0.7629524485450674,0.7697314544445333,0.7357809231520925
GBM_grid_1_AutoML_1_20230326_161138_model_14,0.7374024130589071,0.7978160114661569,0.7374024130589071,0.7508358825238461,0.75669028242204
GBM_grid_1_AutoML_1_20230326_161138_model_17,0.7402413058907026,0.8056511891518906,0.7402413058907026,0.7538382173308883,0.7660029825070364
DeepLearning_grid_1_AutoML_1_20230326_161138_model_1,0.7650816181689141,0.7919535940472545,0.7650816181689141,0.7734404047034252,0.7503333689605505
GBM_grid_1_AutoML_1_20230326_161138_model_4,0.7480482611781405,0.7736021470202714,0.7480482611781405,0.7565583105159799,0.7255470050234377
DeepLearning_grid_2_AutoML_1_20230326_161138_model_3,0.7721788502484032,0.7826796340635943,0.7721788502484032,0.7763862790635551,0.7331165162689143
DeepLearning_grid_3_AutoML_1_20230326_161138_model_5,0.7629524485450674,0.7832558531965996,0.7629524485450674,0.769977190032816,0.7374172303401382
DeepLearning_grid_2_AutoML_1_20230326_161138_model_1,0.7750177430801988,0.7819425292689678,0.7750177430801988,0.777981083047068,0.7301569124435691
DeepLearning_grid_2_AutoML_1_20230326_161138_model_5,0.7310149041873669,0.7942531981306087,0.7310149041873669,0.7449423787275999,0.7514861639157366
GBM_grid_1_AutoML_1_20230326_161138_model_9,0.7508871540099361,0.7940070293317959,0.7508871540099361,0.76214684699622,0.7536772377709577
GBM_grid_1_AutoML_1_20230326_161138_model_6,0.7473385379701917,0.7929015314189045,0.7473385379701917,0.7590183984319802,0.7520587441914912
GBM_grid_1_AutoML_1_20230326_161138_model_16,0.7551454932576295,0.7980328116102875,0.7551454932576295,0.7662127128595324,0.7590556751612132
GBM_grid_1_AutoML_1_20230326_161138_model_3,0.7551454932576295,0.7888340909466353,0.7551454932576295,0.7649612244677211,0.7467833712508716
GBM_1_AutoML_1_20230326_161138,0.7402413058907026,0.7855425592618579,0.7402413058907026,0.7521745564278246,0.7422765282803759
GBM_grid_1_AutoML_1_20230326_161138_model_10,0.7693399574166075,0.7722550261971501,0.7693399574166075,0.7707057388601174,0.7148041266496673
DRF_1_AutoML_1_20230326_161138,0.7409510290986515,0.7636165982023053,0.7409510290986515,0.7489547522504358,0.7116740211422087
GBM_grid_1_AutoML_1_20230326_161138_model_1,0.759403832505323,0.7645357571775975,0.759403832505323,0.7617222249705023,0.7063452073758519
GBM_5_AutoML_1_20230326_161138,0.7437899219304471,0.7872973922009765,0.7437899219304471,0.7553704038906991,0.7447131754538653
GBM_2_AutoML_1_20230326_161138,0.7473385379701917,0.7823426334390688,0.7473385379701917,0.7576096848548258,0.7381501330931041
GBM_3_AutoML_1_20230326_161138,0.7395315826827538,0.7832716099224848,0.7395315826827538,0.7513045380273866,0.7393347380636098
GBM_grid_1_AutoML_1_20230326_161138_model_13,0.758694109297374,0.767576677090196,0.758694109297374,0.7624445669676341,0.7124031066933363
GBM_grid_1_AutoML_1_20230326_161138_model_5,0.7146912704045423,0.7826719201730273,0.7146912704045423,0.7297109388724536,0.7353686653535493
GBM_grid_1_AutoML_1_20230326_161138_model_12,0.7665010645848119,0.7790341467071633,0.7665010645848119,0.7713942144387952,0.7292178807913314
GBM_grid_1_AutoML_1_20230326_161138_model_15,0.7629524485450674,0.7699512200491673,0.7629524485450674,0.7659927772123281,0.7145089297075006
GBM_4_AutoML_1_20230326_161138,0.7359829666430092,0.7686660285630487,0.7359829666430092,0.7462072121941568,0.7197168654156424
GBM_grid_1_AutoML_1_20230326_161138_model_8,0.7331440738112136,0.7648215722390862,0.7331440738112136,0.7432625893478341,0.7144949333007599
